date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:49	115394/115394	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:26%20GMT	http://sonamedia.vn/tai-sao-nen-quang-cao-bang-am-thanh-lap-ke-hoach-quang-cao-am-thanh.html/	C:/My%20Web%20Sites/media/sonamedia.vn/tai-sao-nen-quang-cao-bang-am-thanh-lap-ke-hoach-quang-cao-am-thanh.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:49	14508/14508	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f4d6-38ac%22	http://sonamedia.vn/wp-content/uploads/2020/05/thumnail-web-5-300x167.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/05/thumnail-web-5-300x167.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:50	8200/8200	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f0a0-2008%22	http://sonamedia.vn/wp-content/uploads/2019/10/1552496404-555-yeah1-1552495455-width660height411-300x187.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/1552496404-555-yeah1-1552495455-width660height411-300x187.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:50	14451/14451	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f092-3873%22	http://sonamedia.vn/wp-content/uploads/2019/10/08ae461f14a3d195f7e52b850155dc3c_XL-300x187.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/08ae461f14a3d195f7e52b850155dc3c_XL-300x187.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:51	109592/109592	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:27%20GMT	http://sonamedia.vn/phim-long-tieng-nam-2022-theo-xu-huong-phat-trien.html/	C:/My%20Web%20Sites/media/sonamedia.vn/phim-long-tieng-nam-2022-theo-xu-huong-phat-trien.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:51	114117/114117	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:28%20GMT	http://sonamedia.vn/dich-vu-long-tieng-phim-cac-buoc-trong-long-tieng-phim.html/	C:/My%20Web%20Sites/media/sonamedia.vn/dich-vu-long-tieng-phim-cac-buoc-trong-long-tieng-phim.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:51	4509/4509	---MCZ	200	added ('OK')	application/json	date:Sat,%2017%20Dec%202022%2007:43:28%20GMT	http://sonamedia.vn/wp-json/wp/v2/categories/76	C:/My%20Web%20Sites/media/sonamedia.vn/wp-json/wp/v2/categories/76.json	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-bao-dien-tu/)
14:43:51	114694/114694	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:28%20GMT	http://sonamedia.vn/dich-vu-thu-am-quang-cao-2.html/	C:/My%20Web%20Sites/media/sonamedia.vn/dich-vu-thu-am-quang-cao-2.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:52	117407/117407	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:28%20GMT	http://sonamedia.vn/thu-am-quang-cao-nghe-an.html/	C:/My%20Web%20Sites/media/sonamedia.vn/thu-am-quang-cao-nghe-an.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:52	16905/16905	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f4f2-4209%22	http://sonamedia.vn/wp-content/uploads/2020/06/dich-vu-booking-bao-chi-tai-da-nang-3-1-300x176.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/06/dich-vu-booking-bao-chi-tai-da-nang-3-1-300x176.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-bao-dien-tu/)
14:43:52	117258/117258	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:29%20GMT	http://sonamedia.vn/thu-am-quang-cao-vinh.html/	C:/My%20Web%20Sites/media/sonamedia.vn/thu-am-quang-cao-vinh.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:52	76493/76493	---M--	200	added ('OK')	image/png	etag:%225fd6f534-12acd%22	http://sonamedia.vn/wp-content/uploads/2020/06/dich-vu-seeding-xu-ly-khung-hoang-truyen-thong-300x142.png	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/06/dich-vu-seeding-xu-ly-khung-hoang-truyen-thong-300x142.png	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-bao-dien-tu/)
14:43:52	6343/6343	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f22e-18c7%22	http://sonamedia.vn/wp-content/uploads/2019/12/diem-danh-5-kenh-quang-cao-hieu-qua-nhat-nam-2018-3-300x200.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/12/diem-danh-5-kenh-quang-cao-hieu-qua-nhat-nam-2018-3-300x200.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-bao-dien-tu/)
14:43:52	7687/7687	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f0b8-1e07%22	http://sonamedia.vn/wp-content/uploads/2019/10/960x0-300x200.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/960x0-300x200.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-bao-dien-tu/)
14:43:52	9618/9618	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f1aa-2592%22	http://sonamedia.vn/wp-content/uploads/2019/10/thiet-ke-web-gia-re-2017-300x151.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2019/10/thiet-ke-web-gia-re-2017-300x151.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-bao-dien-tu/)
14:43:53	117529/117529	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:29%20GMT	http://sonamedia.vn/thu-am-quang-cao-quy-nhon.html/	C:/My%20Web%20Sites/media/sonamedia.vn/thu-am-quang-cao-quy-nhon.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
